"id","tech_cat_id","feature_id","relation_def"
5113,139,46,1
5164,6,3,1
5165,6,18,1
5166,6,34,1
5167,6,42,1
5168,6,49,1
5169,6,61,1
5170,6,86,1
5171,6,41,1
5191,10,42,1
5192,10,3,2
5193,10,12,3
4017,135,61,3
4018,135,40,1
4019,135,69,3
5216,14,3,1
5217,14,16,3
5218,14,17,3
5219,14,42,1
5220,14,61,3
5221,14,92,3
6083,225,3,2
6187,134,17,1
6188,134,61,1
6189,134,46,1
6190,134,49,1
6475,9,3,1
6476,9,18,1
6477,9,28,1
6478,9,41,1
6479,9,49,1
6548,168,37,1
6191,134,41,1
6046,277,17,2
6047,277,41,1
5366,129,21,1
5367,129,3,1
5368,129,43,2
5969,272,18,1
5970,272,3,1
5021,247,3,1
5971,272,68,1
5972,272,46,1
5222,14,49,3
6397,4,53,3
6192,134,59,1
6398,4,61,1
6399,294,16,2
6400,294,3,1
6401,294,60,1
6428,109,28,3
6429,109,49,1
6430,109,38,2
6431,109,58,2
5223,14,50,3
5252,202,23,1
5469,179,16,1
5470,179,3,1
5253,202,3,1
3735,159,16,1
5471,179,59,1
5022,247,46,1
5023,247,41,1
3736,159,3,1
3737,159,59,3
5759,262,16,1
5254,202,12,1
5255,202,61,1
5256,202,100,3
6432,109,37,1
6433,109,7,2
6609,183,16,1
6303,96,50,1
6304,96,3,2
5472,179,61,1
5473,179,95,2
5474,179,98,2
5475,179,96,3
5476,179,97,3
6305,96,37,1
6648,11,3,2
6649,11,12,3
4712,108,16,1
4713,108,3,1
4714,108,61,1
5760,262,9,1
5257,202,96,3
3738,159,44,1
5761,262,61,1
5762,262,44,1
5763,262,49,1
6306,96,7,2
5024,247,62,1
5052,102,16,1
5053,102,3,1
6315,26,3,1
6316,26,16,1
5973,272,41,1
5054,102,62,1
2386,142,63,2
2387,142,62,2
2388,142,46,1
2389,142,41,1
5055,102,95,1
5258,202,98,2
5259,202,97,4
5260,202,95,3
5261,202,46,1
5262,202,44,1
5263,202,83,3
5477,179,46,1
5478,179,41,1
5479,179,49,1
5480,179,53,1
5974,272,49,1
6001,181,16,1
6002,181,12,1
5827,208,18,1
5828,208,46,1
5829,208,41,1
5830,208,53,1
5831,208,59,1
5832,208,65,1
5833,208,3,1
6048,277,61,1
6317,26,37,1
6318,26,50,1
6147,90,3,2
6148,90,46,1
6149,90,59,1
6150,90,44,3
6151,90,41,2
6319,26,59,3
6329,278,16,1
6330,278,3,1
6331,278,37,1
4715,108,95,1
4716,108,41,1
4717,108,49,1
4534,222,17,1
4535,222,3,1
4536,222,61,1
4537,222,44,1
4979,125,17,1
4980,125,3,1
4981,125,62,3
4982,125,41,1
4983,125,49,1
4984,125,53,2
5056,102,41,1
5057,102,49,1
4538,222,49,1
6332,278,50,1
6345,279,17,1
6346,279,20,2
6347,279,3,2
4730,164,41,1
6348,279,50,2
6683,89,16,1
6684,89,3,2
6685,89,42,1
6686,89,49,1
6610,183,61,1
6611,183,46,1
6612,183,41,1
6650,11,16,1
5058,102,53,1
5059,102,46,1
6651,11,42,1
6652,11,49,1
6653,11,61,3
6654,11,69,3
6613,183,49,1
6655,11,71,3
6656,11,72,3
6657,11,74,3
6658,11,81,3
6582,302,37,1
6659,11,83,3
6660,11,87,3
6671,288,18,1
6672,288,28,1
6673,288,27,1
6674,288,7,1
5194,35,49,1
5195,35,16,2
5196,35,61,1
4780,29,18,1
4781,29,28,1
4782,29,32,1
4783,29,41,1
4784,29,49,1
4785,29,3,1
6687,309,46,1
6688,309,41,1
6689,309,59,1
6690,310,61,1
6492,295,19,1
6152,162,17,1
6153,162,41,1
6691,310,46,1
6692,310,41,1
5975,275,3,1
5976,275,49,1
5977,275,41,1
5978,275,46,1
6597,304,3,2
5979,275,18,1
796,75,19,1
797,75,3,1
798,75,37,1
799,75,49,1
6003,276,61,1
6004,276,42,1
6005,276,16,1
5481,126,17,1
5482,126,3,1
5483,126,59,1
5484,126,100,4
5485,126,96,3
5486,126,95,2
5487,126,98,3
5488,126,97,3
5489,126,99,4
5490,126,46,1
5491,126,41,1
5492,126,49,1
5493,126,53,3
6493,295,93,1
5683,59,16,1
5684,59,2,1
5685,59,61,1
5686,59,41,1
5687,59,53,2
5688,59,46,1
5743,259,9,1
5744,259,61,1
5745,259,42,1
5876,178,3,1
5834,116,17,1
5835,116,3,1
5836,116,59,1
5577,211,18,1
5578,211,3,1
5579,211,64,1
5837,116,46,1
5838,116,41,1
5839,116,95,1
5297,120,21,1
5298,120,3,1
5299,120,64,1
5840,116,49,1
5877,178,59,1
5300,120,97,3
5301,120,98,3
5878,178,92,1
5908,69,27,3
5909,69,2,1
5910,69,61,1
5302,120,95,3
5303,120,43,1
6598,304,63,1
6599,304,41,1
5304,120,49,1
5580,211,59,1
5581,211,97,3
2619,121,22,1
2620,121,61,1
5582,211,98,3
5583,211,95,3
5911,69,95,1
5912,69,41,1
5584,211,46,1
5060,190,18,1
5061,190,3,1
5062,190,62,1
5063,190,41,1
5064,190,49,1
5913,69,46,1
5914,69,98,3
3131,171,19,1
3132,171,40,1
3133,171,61,3
5915,69,17,1
6154,162,3,1
6155,162,46,1
3647,160,16,1
3648,160,3,1
3649,160,61,2
3650,160,92,3
3651,160,44,1
3652,160,49,1
3653,160,41,1
6156,162,61,2
6049,34,49,1
3654,160,98,3
3655,160,95,1
6050,34,6,1
6051,34,41,2
6052,34,18,1
5123,170,18,1
4390,213,19,1
6600,304,46,2
5585,211,41,1
5586,211,49,1
6601,304,49,1
4391,213,3,1
5124,170,28,3
6614,2,3,1
6615,2,34,1
6616,2,41,1
6617,2,70,3
6618,2,19,1
4392,213,61,1
4393,213,41,1
5125,170,27,3
5126,170,61,1
5127,170,59,3
5128,170,3,1
5129,170,46,1
5130,170,44,2
5131,170,49,1
5587,211,53,2
6177,189,16,2
6178,189,43,2
6494,295,41,2
5625,217,17,1
5626,217,3,1
5179,107,16,1
5180,107,3,1
5181,107,61,1
5182,107,95,1
5183,107,42,1
5184,107,49,1
5197,12,3,2
5198,12,12,3
5199,12,16,1
5200,12,42,1
5627,217,59,1
5201,12,49,1
5202,12,61,1
5203,12,69,3
5204,12,71,3
5205,12,72,3
5206,12,74,3
5207,12,87,3
5628,217,61,1
5629,217,46,1
5630,217,41,1
5631,217,49,1
5632,217,27,1
5633,217,29,1
3362,103,25,1
3363,103,3,1
3364,103,59,1
3365,103,97,1
3366,103,95,3
3367,103,96,3
3368,103,99,1
3369,103,98,1
3370,103,41,1
3371,103,46,1
3372,103,49,1
3373,103,53,3
5795,266,17,1
5796,266,37,1
5797,266,50,2
5798,266,2,1
5388,131,16,1
5389,131,12,1
5390,131,69,1
6495,295,46,2
5391,131,43,1
5392,131,42,1
5393,131,49,1
5951,273,18,1
5952,273,3,1
5953,273,46,1
5954,273,41,1
5955,273,61,1
5956,273,49,1
4372,212,19,1
2700,157,16,1
2701,157,49,1
2721,140,21,2
2722,140,22,2
4373,212,3,1
4374,212,65,1
4375,212,41,1
5879,220,17,1
5841,188,3,1
5842,188,61,1
6512,297,49,1
6513,297,41,1
5843,188,59,1
5844,188,41,1
6024,167,18,1
6025,167,28,2
6026,167,3,1
2723,140,23,3
6027,167,41,1
5845,188,46,1
5880,220,27,1
5881,220,3,1
4731,91,46,1
4732,91,41,1
5882,220,46,1
5494,209,18,1
5883,220,41,1
5884,220,49,1
5495,209,3,1
5496,209,59,1
5497,209,46,1
5498,209,41,1
5499,209,49,1
5500,209,53,2
5501,209,64,1
5885,220,53,2
6675,288,70,3
6681,307,42,1
6682,307,61,1
6631,13,3,1
6632,13,16,3
6633,13,17,3
6634,13,42,1
6635,13,49,3
6636,13,50,3
6637,13,61,3
6108,22,3,1
6109,22,17,1
6110,22,41,1
6111,22,49,1
6112,22,62,3
6536,299,21,1
6455,1,86,3
6456,1,19,1
6320,87,59,3
6157,20,3,1
6537,299,40,1
6158,20,16,1
6159,20,41,1
6160,20,49,1
6161,20,59,1
6162,20,61,1
6179,189,44,2
6180,189,61,2
6321,87,17,2
6322,87,20,2
6544,300,3,2
6323,87,3,1
6324,87,50,1
6457,1,3,1
6545,300,12,2
6458,1,37,4
6459,1,42,4
6460,1,49,1
6461,1,61,3
6462,1,70,3
6546,300,49,1
6547,300,41,2
6638,13,92,3
6463,1,82,3
6464,1,41,2
6583,23,3,1
6584,23,16,1
6377,290,17,1
6378,290,3,1
6585,23,37,1
6586,23,49,1
6587,23,59,3
6379,290,41,1
4848,61,16,1
4849,61,2,1
4850,61,41,1
4863,234,2,1
4864,234,50,1
4865,234,37,1
4866,234,17,2
3374,104,16,1
3375,104,3,1
3376,104,59,1
3377,104,95,1
3378,104,46,1
3379,104,41,1
3380,104,49,1
3381,104,53,3
3862,119,16,1
3863,119,3,1
3864,119,61,1
3865,119,98,3
3866,119,95,3
3867,119,43,1
3868,119,49,1
4905,145,6,1
4906,145,65,3
4907,145,59,3
4908,145,103,3
4909,145,49,1
4910,145,77,3
4911,145,18,1
4912,145,88,3
5343,124,21,1
5344,124,3,1
5345,124,61,1
5272,205,23,1
5273,205,3,1
5274,205,61,1
5275,205,98,2
5276,205,100,3
5277,205,95,3
3627,184,3,1
3628,184,92,1
3629,184,42,1
3630,184,50,1
5278,205,43,1
5313,128,3,1
5314,128,43,1
5315,128,21,1
5346,124,100,3
2702,155,16,1
2703,155,93,1
2704,155,2,1
5751,260,16,1
5347,124,97,3
5348,124,98,3
4627,43,2,1
5752,260,9,1
5753,260,61,1
5754,260,42,1
5439,105,25,1
5440,105,3,1
5441,105,59,1
5442,105,46,1
5443,105,41,1
5755,260,49,1
5693,62,16,1
5694,62,2,1
5695,62,61,1
4628,43,18,1
5349,124,96,1
3676,186,16,1
3677,186,3,1
3678,186,61,1
3679,186,42,1
4629,43,41,1
4630,43,63,1
6097,93,17,1
6098,93,93,2
6099,93,41,2
6113,280,40,1
6114,280,46,1
6242,281,17,1
5444,105,99,1
5445,105,97,3
5446,105,96,3
5447,105,95,3
5448,105,98,3
3680,186,49,1
5449,105,49,1
5450,105,53,2
5886,71,16,1
5065,210,18,1
5066,210,3,1
5067,210,62,1
5068,210,41,1
5069,210,95,2
6440,7,17,1
6441,7,37,1
6442,7,49,1
5887,71,2,1
5888,71,41,1
5889,71,46,1
5890,71,49,1
5547,60,16,1
5548,60,2,1
2705,155,77,3
2706,155,64,3
2707,155,70,3
2708,155,88,3
2709,155,101,3
2710,155,103,3
5549,60,41,1
5813,244,21,1
5814,244,9,1
5550,60,46,1
5551,60,53,2
5070,210,49,1
5101,32,3,1
5102,32,19,1
5815,244,61,1
5816,244,44,1
5817,244,49,1
5846,207,18,1
5595,192,18,1
5596,192,3,1
5597,192,59,1
4631,43,49,1
4544,194,16,1
4545,194,17,1
4546,194,3,1
4547,194,92,1
4548,194,42,1
5696,62,41,1
5697,62,28,1
5103,32,41,1
5104,32,49,1
5105,32,61,3
5132,246,17,1
6443,7,58,2
2953,163,16,1
2954,163,3,1
2955,163,44,1
5598,192,61,1
5599,192,46,1
5600,192,41,1
5601,192,49,1
6243,281,46,1
6244,281,41,1
5133,246,3,1
5134,246,61,1
5847,207,3,1
5848,207,59,1
5849,207,61,1
5850,207,46,1
5851,207,41,1
5852,207,49,1
6245,281,61,1
5853,207,53,2
5854,207,64,1
6246,281,105,3
6163,97,16,1
6164,97,3,1
6165,97,46,1
6166,97,41,1
3857,117,16,1
3858,117,3,1
3859,117,61,1
3860,117,43,1
3861,117,49,1
6167,97,61,2
6168,97,59,3
6257,284,19,1
6258,284,12,3
6259,284,41,2
6275,88,20,1
6276,88,3,1
6277,88,49,1
6278,88,41,3
6573,30,3,1
6574,30,19,1
6575,30,93,1
6576,30,41,1
6577,30,49,1
6578,30,63,3
5135,246,98,1
5136,246,95,1
5137,246,46,1
5138,246,41,1
5139,246,49,1
5153,72,16,1
5154,72,42,1
5155,72,3,1
5156,72,49,1
5185,40,16,1
5186,40,42,1
5187,40,61,1
4776,106,3,1
4777,106,41,1
4778,106,49,1
4779,106,17,1
4817,193,3,1
4818,193,61,1
4819,193,41,1
4820,193,49,1
4821,193,19,1
4822,193,49,1
4841,37,65,2
4842,37,70,3
4843,37,59,3
4844,37,42,3
4845,37,41,3
4846,37,16,1
4847,37,44,3
4913,145,70,3
4914,64,18,1
4915,64,6,1
4916,64,41,3
4917,79,19,1
4918,79,3,1
4919,79,61,1
4920,79,62,3
4921,79,41,3
4922,79,98,3
4923,79,96,3
4924,79,95,3
4925,79,41,1
4926,79,100,3
4927,172,19,1
4928,172,3,1
4929,172,65,2
4930,172,61,3
6260,283,12,2
6261,283,41,2
6514,298,42,1
6515,298,49,1
6553,301,49,1
6554,301,46,1
6059,38,17,1
6060,38,26,1
5451,58,16,1
5452,58,2,1
5453,58,41,1
5279,223,21,1
5280,223,3,1
5281,223,92,1
5282,223,42,1
5350,115,21,1
6142,112,41,1
6143,112,70,3
6144,112,65,3
6145,112,49,2
6146,112,51,3
6579,30,80,3
6639,305,16,1
5891,215,18,1
5892,215,3,1
5893,215,46,1
5894,215,41,1
5895,215,49,1
5896,215,53,1
6061,38,40,1
6115,25,3,1
5106,31,3,1
5107,31,19,1
5108,31,41,1
5109,31,49,1
5110,31,61,3
5140,3,3,1
5141,3,42,1
5142,3,49,1
5143,3,41,3
5157,5,3,1
5158,5,16,1
5159,5,34,1
5160,5,42,1
5161,5,49,1
5162,5,61,1
5163,5,86,1
5188,36,49,1
5189,36,42,1
5190,36,61,1
5351,115,3,1
5352,115,61,1
5353,115,97,3
5354,115,98,3
5355,115,95,3
5356,115,43,1
5357,115,100,1
5454,58,59,1
5455,58,46,1
5456,58,61,1
6116,25,16,1
6117,25,41,1
6118,25,49,1
6119,25,59,3
6120,25,61,3
6121,25,46,1
6640,305,50,1
5663,84,16,1
5664,84,3,1
5665,84,61,1
5666,84,59,3
5667,84,95,3
5668,84,98,3
5669,84,46,1
5602,191,3,1
5603,191,59,1
5604,191,64,1
5605,191,46,1
5606,191,41,1
5607,191,19,3
5608,191,18,2
5609,191,49,1
5670,84,41,1
5671,84,49,1
5776,264,61,1
5777,264,42,1
5818,267,21,1
5855,216,17,1
6444,7,3,2
6445,7,7,3
6465,77,19,1
5856,216,3,1
5857,216,59,1
5858,216,61,1
5859,216,46,1
5860,216,41,1
5861,216,49,1
6466,77,3,2
6467,77,42,1
6468,77,61,2
6580,30,46,3
6581,30,62,3
6339,85,20,1
6340,85,37,1
6341,85,51,2
6342,85,49,3
6343,85,3,3
6344,85,7,2
6355,143,20,1
6356,143,2,1
6357,143,18,1
6358,143,49,1
6369,289,18,1
6370,289,28,1
6371,289,27,2
6372,289,46,1
6373,289,41,1
6380,291,17,1
6381,291,28,2
6382,291,3,1
6383,291,37,1
6538,149,21,1
6539,149,40,1
6676,306,20,1
6677,306,27,1
6678,306,28,1
6679,306,46,4
6680,306,49,1
