"id","cat_name","description","date_begin","date_end","creator","date_created","inherit_from","alternative_name","last_update"
"173","Incised or incised and painted on slip / Eastern Mediterranean","","","","5","2023-02-23 15:55:38.365","90.0","","2024-02-28 10:06:53.384"
"268","Glazed on slip / Eastern Mediterranean","","","","5","2024-03-14 08:23:06.811","132.0","","2024-03-14 08:23:06.811"
"32","Kaolinitic, glazed on slip / Dieulefit","","1800.0","1925.0","1","2021-07-29 09:20:17.926","141.0","","2024-02-28 10:06:53.384"
"244","Architectural, in artificial paste / Iznik","","1550.0","1740.0","5","2024-02-20 17:06:18.190","267.0","","2024-02-28 10:06:53.384"
"76","Kaolinitic, glazed","","1250.0","1900.0","4","2021-12-30 23:40:01.024","135.0","","2024-02-28 10:06:53.384"
"71","Glazed on slip / Cyprus","Céramique à pâte calcaire engobée et glaçurée au plomb. Cette catégorie ne peut être attribuée avec assurance aux ateliers chypriotes connus. Une partie pourrait avoir été fabriquée à Nicosie.","1200.0","1399.0","5","2021-11-22 16:52:59.965","268.0","","2024-02-28 10:06:53.384"
"210","Painted with slip / Nicea-Iznik","Céramiques à pâte rouge, fine et dure, peinte à l'engobe sous des glaçures plombifères vert pistache, orange ou jaune d'or.  Production byzantine d'Iznik/Nicée","1200.0","1299.0","5","2023-08-07 16:32:13.159","190.0","","2024-02-28 10:06:53.384"
"38","Glazed / Southern Italy, Sicily, Maghreb","Céramique à pâtes calcaires claires ou rouges incrustées d'inclusions jaunâtre, à glaçure verte parfois laiteuse. Les formes principales sont des coupes à marli ou formes à liquides. Leur provenance supposée par les analyses pétrographiques est le Sud de l'Italie et Sicile ou le Maghreb.","1100.0","1325.0","4","2021-09-23 15:17:39.011","135.0","","2024-02-28 10:06:53.384"
"235","Painted with colored glazes","","","","4","2024-02-20 10:44:15.217","135.0","","2024-02-28 10:06:53.384"
"29","Culinary / Catalonia","","1500.0","1650.0","1","2021-07-29 08:57:51.874","236.0","Rouge d'Espagne","2024-02-28 10:06:53.384"
"61","Calcareous, glazed / Famagusta","Glaçure plombifère appliquée directement sur la pâte calcaire.","1470.0","1560.0","5","2021-10-28 11:37:46.555","238.0","","2024-02-28 10:06:53.384"
"5","Enamelled, green and brown decoration / Catalonia","","1250.0","1400.0","1","2021-07-28 10:41:59.273","3.0","","2024-02-28 10:06:53.384"
"40","Enamelled, blue and brown decoration / Maghreb","Formes ouvertes en pâte granuleuse jaunâtre, à décor peint en bleu de cobalt et brun de manganèse.
https://books.openedition.org/pccj/3623?lang=fr","1200.0","1300.0","4","2021-09-23 15:54:32.096","249.0","","2024-02-28 10:06:53.384"
"221","Unglazed, painted with slip","","","","5","2023-08-18 10:35:08.893","286.0","","2024-02-28 10:06:53.384"
"36","Enamelled, blue and brown decoration / Northern Italy","Formes en pâte calcaire avec un revêtement d'émail blanc et décor en brun et bleu. Production donnée à la Toscane.","1250.0","1350.0","4","2021-09-17 13:50:19.255","249.0","","2024-02-28 10:06:53.384"
"249","Enamelled, blue and brown decorations","","1250.0","1350.0","4","2024-02-21 14:45:48.806","3.0","","2024-02-28 10:06:53.384"
"12","Enamelled / Italy","","1500.0","1800.0","1","2021-07-28 15:46:35.061","10.0","Faïence italienne","2024-02-28 10:06:53.384"
"14","Enamelled, blue or polychrome or with lustre decoration / Catalonia","","1600.0","1700.0","1","2021-07-28 16:12:22.129","251.0","faïence de Barcelone","2024-02-28 10:06:53.384"
"178","Incised and painted / Cyprus","Céramiques à pâte argileuse produites à Paphos, Nicosie et Lapithos ainsi que dans un autre atelier dont la production est caractérisée par une pâte calcaire orange, fine et très dure, un engobe blanc parfois associé  à un engobe rouge. Le décor incisé est rehaussé de glaçures vertes et jaune d'ocre. La glaçure plombifère incolore est très brillante.

","1200.0","1499.0","5","2023-02-24 17:25:47.849","173.0","","2024-02-28 10:06:53.384"
"262","Architectural, glazed / Algiers","","1700.0","1800.0","5","2024-03-06 11:06:06.324","164.0","","2024-03-06 11:06:06.324"
"256","Painted / Cyprus","","","","5","2024-02-26 10:43:46.359","139.0","","2024-02-28 10:06:53.384"
"140","Categories in artificial pastes","Regroupement des catégories façonnées dans des pâtes de composition artificielle et qui ne correspondent à aucune réalité géologique. Sont incluses les productions de fritware et de porcelaine","","","4","2022-11-21 00:04:19.985","","","2024-02-28 10:06:53.384"
"92","With glaze and/or slip spots/splashes, Provence, 18th century","Céramique en pâte calcaires ou non-calcaires, engobée et glaçurée, rehaussée de taches ou coulures d'engobe contrasté et/ou de glaçure. En Provence, il s'agit des décors simplifiés et dérivés des décors plus soignés peints, parfois incisés du XVIIe siècle","1700.0","1900.0","4","2022-02-15 23:31:51.779","139.0","","2024-02-28 10:06:53.384"
"134","Incisées et peintes en vert et brun ","Ces céramiques se caractérisent par un décor incisé et peint en vert et brun sur un engobe clair. La glaçure plombifère est incolore. Catégorie constitutive de l'Aegean Ware","1150.0","1275.0","4","2022-11-17 17:53:24.565","192.0","","2024-02-28 10:06:53.384"
"109","Oxidizing-fired with polishing or smoothing","Céramique en pâtes généralement non-calcaires, sableuses, à cuisson oxydante et surfaces à lissage intégrale ou polissage structuré.","700.0","1250.0","4","2022-08-24 16:41:11.831","286.0","","2024-02-28 10:06:53.384"
"287","Reducing firing","Argiles cuites en atmosphère réductrice. En absence de revêtement, la caractéristique la plus discriminatoire pour le regroupement des catégories reste la couleur des argiles et donc, leur atmosphère de cuisson.","","","4","2024-06-25 14:42:01.001","137.0","","2024-06-25 14:42:01.001"
"69","Painted / Ottoman Empire","Céramique engobée peinte à l'aide de glaçures colorées ; glaçure plombifère incolore. Ateliers non identifiés dans l'Empire ottoman.","1500.0","1800.0","5","2021-11-22 15:38:45.089","139.0","","2024-02-28 10:06:53.384"
"26","Calcareous, modern reducing-fired / Languedoc","","1400.0","1600.0","1","2021-07-29 08:44:21.900","287.0","","2024-02-28 10:06:53.384"
"75","Kaolinitic, oxidizing-fired, unglazed","formes associées au type d'Uzège, sans revêtement vitreux","1250.0","1500.0","4","2021-12-30 17:31:19.689","1.0","","2024-02-28 10:06:53.384"
"269","Architectural with opaque coating / Naples","","","","5","2024-03-14 08:48:59.514","146.0","","2024-03-14 08:48:59.514"
"184","Ceramic with metallic lustre decoration","Regroupement des catégories en pâtes argileuses qui utilisent des lustres métalliques comme technique décorative, associés parfois à des glaçures trasparentes colorées sur une glaçure opacifiée souvent à base d'étain.","","","4","2023-03-22 13:38:55.101","144.0","","2024-02-28 10:06:53.384"
"283","Mixed clays and glazed","Céramique souvent moulée à partir d'une préparation d'argiles de nuances différentes. Le pétrissage de ce mélange assure un effet marbré de la pâte ainsi obtenue. Ces marbrures sont généralement plus fines que lorsque le même effet est obtenu par mélange d'engobes. Une glaçure transparente recouvre habituellement les objets.","1700.0","1900.0","4","2024-06-12 11:00:07.506","135.0","Terre jaspée, Terre marbrée","2024-06-12 11:00:07.506"
"159","Ceramic with alkaline-lead turquoise glaze / Raqqa","Formes fermées tournées en pâte calcaire beige avec de petites inclusions noires. Une glaçure alcalino-plombifère, translucide ou parfois légèrement opacifiée, est de couleur verte ou bleu turquoise. Elle est souvent très épaisse. Production dite de tradition sassanide. ","780.0","899.0","5","2023-01-31 15:07:00.306","136.0","","2024-02-28 10:06:53.384"
"60","Glazed on slip / Lapithos","Céramique à pâte fine de couleur chamois, sur une fine couche d'engobe blanc, glaçure plombifère jaune pâle ou vert émeraude.","1600.0","1630.0","5","2021-10-28 11:34:40.169","71.0","","2024-02-28 10:06:53.384"
"238","Calcareous with lead glaze","","","","4","2024-02-20 14:34:54.103","135.0","","2024-02-28 10:06:53.384"
"277","Painted with manganese / Albisola Imitations","Pour imiter les importations d'Albisola, à succès au XVIIIe siècle, de nombreux ateliers en Méditerranée, notamment provençaux, fabriquent des formes ouvertes, généralement des assiettes, bols ou plats, façonnés en argile rouge, recouverts de glaçure plus ou moins foncée et peints de taches ou de bandes de manganèse.","1700.0","1800.0","4","2024-03-21 16:12:30.509","235.0","Imitation d'Albisola","2024-03-21 16:12:30.509"
"116","Incised monochrome / Beirut","Céramique à pâte argileuse, rouge ou orange clair, fine et dure contenant des inclusions blanches, noires et de la chamotte. Décor incisé et glaçure au plomb. Catégorie produite à Beyrouth.","1100.0","1199.0","5","2022-09-13 11:08:10.441","173.0","","2024-02-28 10:06:53.384"
"3","Medieval enamelled","Productions à revêtement d'émail stannifère, souvent décorées en vert et brun. Ce revêtement peut être posé sur les parties exposés des formes en complément de glaçure plombifère. Des revêtements monochromes, rares, sont parfois apposés sur des exemples tardifs. Les argiles sont généralement calcaires ou riche en fer, non-calcaires. ","1200.0","1500.0","1","2021-07-28 10:21:05.799","144.0","Vert et brun ; Majolique ; Faïence stannifère médiévale","2024-02-28 10:06:53.384"
"88","Sandy, oxidizing-fired / Montpellier","Formes tournées en pâtes plus ou moins sableuses cuites en atmosphère oxydante. Elles peuvent être glaçurées ou sans revêtement. Ces formes sont principalement culinaires.","1400.0","1600.0","4","2022-02-11 17:10:11.488","93.0","Rouge sableuse ","2024-02-28 10:06:53.384"
"10","Modern enamelled","Regroupement des faïences modernes en pâte beige, rose ou rouge couverte d'un émail stannifère épais, opaque, teinté ou blanc, souvent à décor peint polychrome.","1550.0","1800.0","1","2021-07-28 14:25:25.578","144.0","Faïence argileuse moderne ; Faïence  stannifère moderne","2024-02-28 10:06:53.384"
"24","Calcaire à glaçure plombifère  / Provence, Languedoc","Céramique en pâte calcaire et revêtement, parfois partiel, de glaçure plombifère monochrome.","1300.0","1900.0","1","2021-07-29 08:40:26.860","238.0","","2024-02-28 10:06:53.384"
"218","Incised and painted / Seljuk Anatolia","Céramique à pâte rouge, engobée, au décor incisé et rehaussé de pigments colorés verts, jaune d'ocre et/ou violets de manganèse. La glaçure plombifère est incolore. Ces céramiques vraisemblablement produites à la fin  de l'époque seldjoukide sont souvent difficiles à distinguer des premières productions des émirats turcomans à partir du XIVe siècle.","1200.0","1308.0","5","2023-08-15 15:14:39.203","173.0","","2024-02-28 10:06:53.384"
"289","Sandy, glazed on slip / Languedoc","Formes en argile rouge riche en quartz, tournées et glaçurées. La présence d'engobe sous la glaçure est possible.","1450.0","1550.0","4","2024-06-25 16:50:19.204","280.0","","2024-06-25 16:50:19.204"
"297","Architectural, glazed / Provence","Regroupement des formes de céramique architecturale glaçurées produites dans la zone de la Provence","1350.0","1900.0","4","2024-11-09 23:03:14.497","164.0","","2024-11-09 23:03:14.497"
"309","Incised monochrome / Provence, Languedoc","","1575.0","1900.0","4","2025-02-17 20:41:22.945","176.0","","2025-02-17 20:41:22.945"
"245","Culinary / Syria","","","","5","2024-02-20 17:11:08.939","236.0","","2024-02-28 10:06:53.384"
"64","Culinary, modelled, glazed / Cyprus","","1180.0","1699.0","5","2021-10-28 13:27:14.867","236.0","","2024-02-28 10:06:53.384"
"6","Enamelled, green and brown decoration / Pisa","","1200.0","1400.0","1","2021-07-28 11:19:51.077","3.0","Faïence Vert et Brun pisano-ligure","2024-02-28 10:06:53.384"
"250","Enamelled, blue and brown or polychrome decoration / Southern Italy, Sicily","","","","4","2024-02-21 14:49:39.700","249.0","","2024-02-28 10:06:53.384"
"298","Architectural with opaque coating / Provence","Regroupement des formes de céramique architecturale émaillées produites dans la zone de la Provence","1350.0","1900.0","4","2024-11-09 23:06:32.500","146.0","","2024-11-09 23:06:32.500"
"94","White kaolinitic, glazed","Vaisselle réfractaire en pâtes kaolinitiques  blanches, plus ou moins granuleuses, glaçurées, essentiellement des marmites et des pots, plus rarement des jattes et des cruches. Dans l'héritage du type de l'Uzège, ces productions sont caractéristiques pour les contextes du XVIe siècle, particulièrement dans la région de Vaucluse.","1400.0","1700.0","4","2022-02-23 20:06:20.874","76.0","Kaolinitique claire glaçurée","2024-02-28 10:06:53.384"
"239","Calcareous with lead glaze / Algiers","","","","4","2024-02-20 14:40:58.228","238.0","","2024-02-28 10:06:53.384"
"183","Jaspered glazed / Raqqa","Céramique à pâte calcaire, engobée, décorée de coulures peintes en brun, vert, jaune, ocre-jaune fusant dans une glaçure plombifère transparente et très brillante.","780.0","1099.0","5","2023-03-16 09:08:58.078","139.0","","2024-02-28 10:06:53.384"
"108","Painted in green and brown / Nicosia","Céramique à pâte calcaire, claire, aux formes lourdes, peinte en vert ou en vert et brun sous une glaçure plombifère incolore dans le style des faïences vert et brun de Nicosie. ","1230.0","1299.0","5","2022-08-21 16:54:14.454","235.0","","2024-02-28 10:06:53.384"
"74","Culinary from the Southwest","Formes essentiellement culinaires, en pâte rouge à structure grossière, produites dans la région de Cox-Lomagne.","1600.0","1900.0","4","2021-12-09 17:21:51.562","286.0","Culinaire de Cox","2024-02-28 10:06:53.384"
"150","European Porcelain","Productions pré-industrielles en pâtes vitrifiées, composées de kaolin, silice et fondant. Les formes peuvent être ornées de décors polychromes ou dorés, réalisés selon différentes techniques.","","","4","2023-01-23 14:38:24.379","140.0","","2024-02-28 10:06:53.384"
"105","Incised and painted / Paphos","Céramique à pâte rouge, engobée en blanc et glaçurée au plomb. Décor incisé rehaussé de coulures de glaçures vertes et ocre-jaune. Production de Paphos du milieu XIIIe à la fin du XIVe siècle.","1250.0","1399.0","5","2022-08-19 10:26:48.497","178.0","","2024-02-28 10:06:53.384"
"59","Painted in green / Lapithos","Céramique à pâte fine de couleur chamois, engobée en blanc, beige rosé ou beige et peinte en vert sous une glaçure plombifère incolore appliquée en jus pauvre.","1550.0","1630.0","5","2021-10-28 11:31:51.026","256.0","","2024-02-28 10:06:53.384"
"219","Painted with slip / Aphrodisias","Céramique à pâte orange à rouge vif, contenant des inclusions de mica et parfois de calcaires, ornée d'un décor rudimentaire de taches ou d'épaisses coulures peintes à l'engobe sous une glaçure plombifère brillante, vert clair, ver émeraude ou jaune d'or.","1400.0","1540.0","5","2023-08-17 14:39:12.717","142.0","","2024-02-28 10:06:53.384"
"83","Calcareous, oxidizing-fired, unglazed / Nicosia","Céramique à pâte calcaire, orange clair ou beige, parfois à décor peigné, produite à Nicosie, probablement à proximité de l'archevêché orthodoxe.","1200.0","1899.0","5","2022-01-25 15:11:20.468","23.0","","2024-02-28 10:06:53.384"
"273","With manganese spots / Crimea","Céramique de table en pâte rouge, recouverte d'engobe, de glaçure transparente géneralement jaune, parfois verdâtre et de teches violacées de manganèse.","1330.0","1370.0","11","2024-03-15 18:24:30.135","139.0","","2024-03-15 18:24:30.135"
"72","Enamelled monochrome / Nicosia","Production de Nicosie à pâte calcaire datée des XIIIe et XIVe siècles. Email de mauvaise qualité qui part en plaque.","1230.0","1399.0","5","2021-11-24 15:17:37.083","3.0","","2024-02-28 10:06:53.384"
"272","Glazed on slip with depressions / Crimea","Des formes ouvertes pour le service de table, en pâte rouge, engobées et couvertes de glaçure transparente monochrome. La paroi et/ou le bord reçoivent des alignements de dépressions faites au doigt ou avec un instrument.","1350.0","1400.0","11","2024-03-15 18:08:59.071","275.0","","2024-03-15 18:08:59.071"
"107","Enamelled, green and brown decoration / Nicosia","Céramiques grossièrement tournées, émaillées sur pâte calcaire claire, ornées de coulures ou de motifs géométriques grossièrement peints en vert et brun. Email appliqué en couche fine. Bases annulaires à disque interne.","1230.0","1299.0","5","2022-08-21 15:57:47.642","3.0","","2024-02-28 10:06:53.384"
"135","Categories with transparent glazes","Regroupement de catégories à revêtement de glaçure transparente posé directement sur la pâte, sans présence d'engobe. Les glaçures peuvent être monochromes ou polychromes, colorées aux oxydes métalliques.","","","4","2022-11-20 20:02:57.885","","","2024-02-28 10:06:53.384"
"225","Alkaline-lead turquoise glazes / Anatolia","Céramique en argile rouge, souvent à inclusions de quartz, couverte d'engobe blanc enrichi de silice et de glaçure alcalino-plombifère opacifiée à l'étain et teintée en turquoise par l'ajout d'oxyde de cuivre. Les surfaces peuvent être animées de godrons, les lèvres festonnées ou les revers recouverts de glaçure plombifère verte, jaune ou incolore, parfois peints de traits.
Attribuée au début de la période turque, plusieurs centres de productions sont supposés dans l'ouest de l'Anatolie, notamment autour d'Éphèse et de Pergame.","1350.0","1499.0","4","2023-09-19 11:22:24.776","254.0","Glaçures bleu turquoise","2024-02-28 10:06:53.384"
"251","Enamelled / Catalonia","","","","4","2024-02-21 15:47:36.339","10.0","","2024-02-28 10:06:53.384"
"164","Architectural, glazed","Regroupement des éléments architecturaux glaçurés qu'il est difficile d’associer à des productions identifiées compte tenu de la variabilité de la composition des argiles moins épurées. En revanche, ils sont rattachés à des ateliers lorsqu'ils font partie de leur production.","1300.0","1950.0","4","2023-02-15 13:12:06.371","135.0","","2024-02-28 10:06:53.384"
"259","Architectural with Veneto-Ligurian opaque coating","","1500.0","1630.0","5","2024-03-05 14:01:00.741","146.0","","2024-03-05 14:01:00.741"
"162","Ligurian slip-coated and painted","Céramique en pâte rouge, engobée et glaçurée, parfois peinte. Origine italienne, ligure.","1450.0","1600.0","4","2023-02-13 23:29:52.338","139.0","","2024-02-28 10:06:53.384"
"205","Painted / Damascus","Imitations d'une large gamme de productions de vaisselle d'Iznik réalisées dans les ateliers de Damas
Pâte assez tendre de couleur blanche ou jaunâtre ne possédant ni la finesse ni la dureté des pâtes d'Iznik. Glaçure appliquée en couche épaisse à l'intérieur et à l'extérieur mais jamais sous la base.","1580.0","1699.0","5","2023-07-10 11:09:16.351","252.0","","2024-02-28 10:06:53.384"
"119","Polychrome painted / Beirut","Céramique à pâte argileuse, chamois ou rose, fine et dure à glaçure alcaline incolore. Décors sous forme de glaçures aubergine et bleues. Production de Beyrouth à l'époque fatimide. ","1000.0","1099.0","5","2022-09-13 16:36:47.412","136.0","","2024-02-28 10:06:53.384"
"236","Refractory, glazed","Vaisselle culinaire façonnée dans des pâtes granuleuses, plus ou moins réfractaires, obtenues par mélanges ou puisées dans des carrières proches ; elles ne sont ni kaolinitiques, ni réellement sableuses. Les formes peuvent être tournées ou modelées (non tournées). La glaçure n'est pas toujours couvrante.","","","4","2024-02-20 11:20:45.425","135.0","","2024-02-28 10:06:53.384"
"104","Incised monochrome / Nicosia","Céramique à pâte calcaire, claire, engobée en rouge et incisée. Glaçure plombifère incolore ou jaune. Production de Nicosie dans le style de celle de Paphos.","1200.0","1299.0","5","2022-08-19 10:00:42.140","173.0","","2024-02-28 10:06:53.384"
"303","Non-calcareous, glazed on slip / Languedoc","Groupement des productions languedociennes provenant des ateliers qui façonnent des argiles non-calcaires), engobées et glaçurées.","1500.0","1900.0","4","2024-11-12 15:41:26.723","280.0","","2024-11-12 15:41:26.723"
"263","Architectural with opaque coating / Barcelona","","1680.0","1799.0","5","2024-03-06 11:51:43.308","146.0","","2024-03-06 11:51:43.308"
"157","Calcareous, oxidizing-fired, unglazed / Raqqa","Céramique à pâte calcaire, dure, contenant de petites inclusions blanches et noires. Surface beige et cœur rose ou orange clair. Des vases déformés témoignent de la fabrication locale de ces poteries. Il est possible que certaines soient des biscuits mais en l'absence de pièces du même type glaçurées dans ce dépotoir, il est impossible de l'affirmer. Productions aux époque abbasside et fatimide.","780.0","1099.0","5","2023-01-27 11:11:10.170","23.0","","2024-02-28 10:06:53.384"
"117","Glazed monochrome / Beirut","Céramique à pâte calcaire, beige, contenant de petites inclusions blanches et noires. La glaçure alcaline de couleur aubergine presque noire est souvent appliquée en couche épaisse. Elle peut aussi être bleu turquoise. Catégorie produite à Beyrouth.","1100.0","1199.0","5","2022-09-13 11:22:02.790","136.0","","2024-02-28 10:06:53.384"
"264","Architectural with opaque coating / Delft","","1570.0","1930.0","5","2024-03-06 13:06:03.185","146.0","","2024-03-06 13:06:03.185"
"127","Incised and/or cut-out / Syria, Egypt","Céramique à pâte artificielle (dite siliceuse), de couleur blanche ou beige. Le décor est incisé ou découpé et couvert ensuite d'une glaçure alcaline incolore ou colorée. Catégorie produite en Syrie et en Égypte au XIIe siècle","1100.0","1199.0","5","2022-10-27 17:17:19.935","129.0","","2024-02-28 10:06:53.384"
"124","Polychrome painted / Syria, Egypt","Céramique en pâte artificielle (dite siliceuse) peinte en bleu, noir et rouge sous glaçure alcaline incolore. Productions d'époque ayyoubide et mamelouke attribuée à la fois aux ateliers de Syrie et d’Égypte.","1100.0","1500.0","5","2022-09-22 17:53:08.902","129.0","","2024-02-28 10:06:53.384"
"110","Brown to grey / Eastern Pyrenees","Céramiques caractérisées par des pâtes non-calcaires, granuleuses, souvent à inclusions de quartz. Façonnées par modelage et finitions au tournassage, les formes sont irrégulières, cuites en atmosphère aléatoire ou mal maîtrisée, de couleurs beiges, brique, brunes, grises à noires. Elles sont généralement associées à la céramique grise.","600.0","1300.0","4","2022-08-25 10:35:02.179","96.0","Céramique tournassée à cuisson aléatoire, Céramique grise","2024-02-28 10:06:53.384"
"142","Categories with slip decoration(s)","Regroupement des catégories glaçurées avec des décors d'engobe(s) structurés peint, mêlés ou informels.","","","4","2022-11-21 00:21:26.659","132.0","","2024-02-28 10:06:53.384"
"121","Meissen Porcelain","Porcelaine blanche, parfois peinte en bleu nuit, souvent peinte en polychromie (rouge et bleu), parfois surpeinte à l'or. Décors floraux ou sinisants. 
Dans l'Empire ottoman, elle apparaît essentiellement au XVIIIe siècle sous la forme de tasses à café de type oriental (fincan) puis de vaisselle de table au XIXe siècle.","1710.0","1900.0","5","2022-09-22 16:28:00.544","150.0","Porcelaine de Saxe","2024-02-28 10:06:53.384"
"252","Painted / Ottoman Empire","","1480.0","1800.0","5","2024-02-21 16:19:25.601","129.0","","2024-02-28 10:06:53.384"
"151","Asian Porcelain","","","","4","2023-01-23 14:44:10.607","140.0","","2024-02-28 10:06:53.384"
"115","Painted in black and blue / Syria, Egypt","Catégorie en pâte siliceuse, peinte en noir et bleu, sous glaçure alcaline. Le décor consiste en compositions à panneaux rayonnants dans lesquels alternent calligraphie, fleurons, petites feuilles trilobées, séries de trois ou quatre points. Le fond des coupes peut être occupé par des représentations d'oies ou de poissons. Certains élément du décor sont parfois réalisés en relief à la barbotine. La glaçure alcaline est incolore. Production, imitant la céramique iranienne de  Sultanabad,  mais fabriquée en Syrie et  en Egypte à partir de la fin du XIIIe et surtout populaire au XIVe siècle.
","1280.0","1499.0","5","2022-09-12 15:51:40.527","129.0","","2024-02-28 10:06:53.384"
"99","Glazed on slip / Nicosia","Céramiques à pâte calcaire couverte d'une glaçure alcalino-plombifère jaunâtre ou verdâtre appliquée directement sur la pâte ou sur un engobe blanc ou rouge. Surface toujours mal conservée.  La  glaçure est parfois plombifère de couleur orangée ou jaune, elle est appliquée sur un engobe rouge. 
Catégories produites dès le XIIIe siècle puis au XIVe siècle à Nicosie sans doute à proximité du terrain de l'archevêché. ","1200.0","1399.0","5","2022-08-18 09:48:35.486","71.0","","2024-02-28 10:06:53.384"
