"id","function_name_fr","function_level","function_parent","function_disembiguation_fr","function_priority"
"106","other","2","98.0","","5.0"
"119","tile","1","108.0","mallon",""
"43","small jar","1","39.0","",""
"1","dishware","0","","","0.0"
"51","specific","0","","","2.0"
"87","tools","0","","","3.0"
"108","architectural ceramics","0","","","4.0"
"130","mug","2","10.0","","4.0"
"131","measuring mug","2","98.0","","4.0"
"132","small pitcher","2","10.0","",""
"133","small dish","2","2.0","",""
"134","money box","2","77.0","",""
"135","aquamanile","2","10.0","",""
"136","albarello","2","63.0","",""
"63","hygiene, toilet, and health items","1","51.0","",""
"70","spittoon","2","63.0","",""
"71","eye bath","2","63.0","",""
"137","watch stand","2","63.0","",""
"138","chevrette","2","63.0","",""
"139","cannon pot","2","63.0","",""
"99","crucible","2","88.0","",""
"93","mold","2","98.0","",""
"54","candlestick or candle holder","2","52.0","",""
"97","hook","2","88.0","ox-yoke",""
"96","round cooking pot","2","88.0","",""
"56","lantern","2","52.0","",""
"124","strainer","1","108.0","",""
"116","brick","1","108.0","",""
"117","specific brick","1","108.0","",""
"112","ridge tile","1","108.0","",""
"111","verge tile","1","108.0","",""
"110","roof tile","1","108.0","",""
"114","specific roof tile","1","108.0","",""
"121","underside roof tile","1","108.0","",""
"120","floor tile","1","108.0","",""
"127","garden edging","1","108.0","",""
"129","stove tile","1","108.0","ne devrait pas être dans feu ?",""
"128","architectural element","1","108.0","",""
"126","hearth plate","1","108.0","",""
"41","jar","1","39.0","",""
"45","bottle","1","39.0","",""
"44","preserve pot","1","39.0","",""
"50","strawberry pot","1","39.0","",""
"47","mustard pot","1","39.0","",""
"49","grape pot","1","39.0","",""
"48","vinegar pot","1","39.0","",""
"142","fountain","2","63.0","",""
"18","teapot or chocolate pot","2","10.0","",""
"145","form with cut-outs","2","77.0","",""
"143","unknown","0","","","5.0"
"85","marbles","2","77.0","",""
"86","toy","2","77.0","",""
"107","smoke pot","2","98.0","",""
"101","drinking trough","2","98.0","",""
"88","refractory firing tools","1","87.0","",""
"144","form with holes","2","77.0","",""
"148","amphora","1","147.0","",""
"102","birdhouse","2","98.0","",""
"141","water wheel bucket","2","98.0","godet de noria, godet de saqieh",""
"10","liquid service","1","1.0","",""
"149","spouted pot","2","10.0","",""
"150","spindle whorl or perforated disc","2","77.0","",""
"146","bead","2","77.0","",""
"151","support","2","27.0","","4.0"
"152","mandrel","2","98.0","",""
"153","latrine bowl","2","63.0","",""
"154","stopper","2","88.0","",""
"155","mortar","2","98.0","",""
"156","whistle","2","77.0","rossignol",""
"190","filter jug","2","10.0","",""
"83","flower pot","2","187.0","",""
"30","draining rack, strainer","2","27.0","",""
"159","flat plate","3","7.0","",""
"160","deep plate","3","7.0","",""
"161","saucer","3","7.0","",""
"12","storage jar","3","162.0","",""
"13","pot","3","162.0","anneau sommital",""
"34","double pot","3","20.0","",""
"62","altar vase","2","57.0","",""
"39","storage and packaging","0","","","1.0"
"185","garden vase","2","187.0","",""
"158","salt cellar","2","27.0","",""
"33","spice box","2","27.0","",""
"27","accessory","1","1.0","",""
"36","sauceboat","2","2.0","",""
"35","soup tureen","2","2.0","",""
"164","findjan","3","15.0","",""
"165","jug","3","20.0","",""
"20","pot","2","19.0","",""
"166","pot with pinched spout","3","20.0","",""
"167","pot with tubular spout","3","20.0","",""
"168","pot with plate spout","3","20.0","",""
"61","statuette","2","57.0","",""
"170","chamber pot","3","64.0","",""
"171","still head","3","104.0","",""
"17","liquid service lid","2","10.0","",""
"169","pot with polylobed opening","3","20.0","",""
"173","pot with handle(s)","3","20.0","",""
"175","potter's tools","1","87.0","",""
"176","pot with inverted rim","3","20.0","",""
"177","lid with lug","3","28.0","",""
"178","figurine","2","77.0","",""
"73","brazier","2","72.0","chauffe plat, braséro",""
"180","slag","1","179.0","",""
"181","sheep figurine","1","179.0","",""
"182","kiln lining","1","179.0","",""
"183","kiln floor","1","179.0","",""
"184","rubified earth","1","179.0","",""
"147","transport","0","","","6.0"
"157","flower pot saucer","2","187.0","",""
"186","flower vase","2","187.0","",""
"187","flowers and garden items","1","51.0","","5.0"
"188","ewer","2","63.0","",""
"5","cup","2","2.0","",""
"191","feeding bottle","2","63.0","",""
"192","zellige","1","108.0","",""
"8","serving dish","2","2.0","",""
"193","cream pot or milk jug","2","2.0","",""
"194","saucer","2","2.0","",""
"195","sucrier","2","2.0","",""
"196","corbeille","2","2.0","",""
"197","butter dish","2","2.0","",""
"198","toilet box","2","63.0","",""
